"date","freq","btc"
2010-11-15,14419,309092.34
2010-11-16,6067,362303.44
2010-11-17,562,71656.7
2010-11-18,2948,70291.26
2010-11-19,11847,167193.8
2010-11-20,12181,155037.12
2010-11-21,4637,30418.842
2010-11-22,471,47855.344
2010-11-23,497,48640.234
2010-11-24,5549,53046.17
2010-11-25,3922,98948.32
2010-11-26,1693,51388.793
2010-11-27,587,27334.646
2010-11-28,695,33246.33
2010-11-29,587,48440.7
2010-11-30,644,77391.76
2010-12-01,711,58573.902
2010-12-02,643,69088.21
2010-12-03,566,55949.094
2010-12-04,520,62437.957
2010-12-05,558,107413.38
2010-12-06,633,48014.867
2010-12-07,809,83465.78
2010-12-08,735,47665.582
2010-12-09,595,48766.54
2010-12-10,642,72140.51
2010-12-11,858,48228.344
2010-12-12,1128,80254
2010-12-13,985,187818.4
2010-12-14,959,118741.086
2010-12-15,909,113615.98
2010-12-16,745,89308.12
2010-12-17,654,78290.83
2010-12-18,781,123468.31
2010-12-19,778,70631.92
2010-12-20,1586,91656.13
2010-12-21,1010,106844.24
2010-12-22,1065,91613.62
2010-12-23,900,70311.04
2010-12-24,775,79386.695
2010-12-25,1053,112352.21
2010-12-26,887,79856.43
2010-12-27,939,86878.945
2010-12-28,981,86967.14
2010-12-29,858,107592.45
2010-12-30,884,68120.38
2010-12-31,862,68958.59
2011-01-01,996,56763.387
2011-01-02,876,55045.29
2011-01-03,1879,78046.04
2011-01-04,1474,44639.734
2011-01-05,1727,62164.203
2011-01-06,942,43746.066
2011-01-07,1938,62175.805
2011-01-08,1783,61640.69
2011-01-09,1894,50239.363
2011-01-10,1980,96130.3
2011-01-11,1857,117048.49
2011-01-12,1784,58083.13
2011-01-13,1909,133376.52
2011-01-14,1761,87598.58
2011-01-15,1573,66101.84
2011-01-16,1416,70123.04
2011-01-17,1373,71097.84
2011-01-18,1540,107851.336
2011-01-19,1576,71437.07
2011-01-20,1637,73330.72
2011-01-21,1996,71096.27
2011-01-22,2289,62841.734
2011-01-23,1992,89470.07
2011-01-24,2143,90350.234
2011-01-25,1527,52856.016
2011-01-26,1606,506911.72
2011-01-27,1468,610096.5
2011-01-28,2157,56528.027
2011-01-29,2117,72039.8
2011-01-30,5349,465218.1
2011-01-31,1730,140191.34
2011-02-01,1836,168518.4
2011-02-02,1417,91419.22
2011-02-03,1318,56018.785
2011-02-04,1568,78834.43
2011-02-05,1442,79704.5
2011-02-06,1356,65431.77
2011-02-07,1515,173457.25
2011-02-08,1548,80566.91
2011-02-09,2381,159572.89
2011-02-10,4154,269872.8
2011-02-11,3880,217159.1
2011-02-12,3130,125004.17
2011-02-13,3249,116219.57
2011-02-14,3603,133249.98
